path,error
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-372.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-414.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-428.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-819.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-825.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-831.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-164.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-602.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-616.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-170.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-158.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-789.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-776.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-762.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-8.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-13.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-574.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-212.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-206.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-560.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-548.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-238.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-210.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
/Users/lily/Documents/Projects/chest-xray/data/raw/archive/test/normal/normal-576.jpg,predict_with_policy() got an unexpected keyword argument 'probs'
